Country,RMSE,MAE,MAPE,R²,AIC,BIC
Netherlands,0.0031769240303145805,0.00237816576486979,0.25308844122910507,0.3131257382984295,-182.3005635273858,-178.6439360527812
New Zealand,0.001423590527888545,0.0010649964717589183,0.11382179676239775,-0.10337655070677831,-209.93069116412448,-206.2740636895199
Nicaragua,0.005096340781484363,0.004664366116459278,0.7063102817892963,0.34935491887013836,-198.1510365574672,-194.4944090828626
Niger,0.0031176861328184474,0.0026497570352507216,0.6817834467522006,0.8276851033590258,-229.44947749826764,-225.79285002366305
Nigeria,0.01595028283530744,0.01429559159490777,2.650694186511045,-3.573061116576975,-43.536856899330964,-39.880229424726366
North Macedonia,0.012319205470270555,0.011702092108192905,1.502041096167166,-0.01202753776788823,-25.46522984562869,-21.80860237102409
Norway,0.0016486986347516478,0.0014993430037125086,0.15589040609387142,0.7178132368149044,-196.04446026337635,-192.38783278877176
Oman,0.03262253385947253,0.02418521909267887,2.9511509169151684,-9.06703784849601,-21.210063762711833,-17.553436288107232
Pakistan,0.0166528369982938,0.013889594612542022,2.5852503698959772,-59.66308939506864,-217.040619991585,-213.3839925169804
Palau,0.01001555525241189,0.008431692492801544,1.0597767054189002,-1.8677106205902256,-18.101656344632453,-14.445028870027851
"Palestine, State of",0.012728450958414572,0.009814056663977595,1.3507970211559794,-1.4654222752290256,-24.882901631582623,-21.226274156978022
Panama,0.007651510926581108,0.006247039813305195,0.7679158613255104,-2.1594001690748508,-231.15766087404714,-227.50103339944255
Papua New Guinea,0.00952359562854667,0.008042141580250437,1.4278649934281527,-0.7360331293389204,-197.29784769853316,-193.64122022392857
Paraguay,0.02503333110356014,0.020916840761605604,2.8446135048879735,-19.49847506066959,-195.02813304026878,-191.3715055656642
Peru,0.016829701548843792,0.012055260235142631,1.5879525464501738,-6.684775114581715,-193.46868734370503,-189.81205986910044
Philippines,0.009862177291126187,0.007019645609229075,1.0034690386769467,-0.8837409111298968,-220.95256782908973,-217.29594035448514
Poland,0.004513541177953132,0.003204561657504173,0.3656612141048656,-1.1987459125304993,-196.82178316006096,-193.16515568545637
Portugal,0.0037679705916361743,0.002604133168212127,0.3004751371761092,0.687193113043023,-203.013883706266,-199.3572562316614
Qatar,0.01025376568131618,0.008996578707884046,1.0366503915495988,-1.6888548130060164,-191.822634528412,-188.16600705380742
Romania,0.010787882993170813,0.00965543344718294,1.165377305035958,-2.9005079030388843,-170.55591313580734,-166.89928566120275
Russian Federation,0.010486108298983918,0.008377236500060583,1.0178083835318832,-1.252493685469458,-189.33245934609204,-185.67583187148745
Rwanda,0.036501293432068,0.032397180364463964,6.051874780917245,-11.642307646878866,-67.32126109788824,-63.664633623283635
Saint Kitts and Nevis,0.03112900553583937,0.026303997705664543,3.1507384915792707,-180.2279934994867,-17.29942655813712,-13.64279908353252
Saint Lucia,0.01689487691021549,0.013465728626854483,1.8571215247064348,-1.761928598885321,-192.18377438701341,-188.52714691240882
Saint Vincent and the Grenadines,0.00986211919338699,0.008980088373410657,1.1417921834240976,-0.720508431135026,-21.97673198288138,-18.320104508276778
Samoa,0.00408093091388791,0.0035444107538113523,0.49982874716802195,-0.027765565582333895,-24.962332935200138,-21.305705460595536
San Marino,0.007602833756845646,0.0054216440691466595,0.6305673293936569,0.13700457782530562,-217.0622179979128,-213.4055905233082
Sao Tome and Principe,0.0038154931670952978,0.0036615448838338244,0.6037196713792001,0.13639053595715112,-209.98983669903853,-206.33320922443394
Saudi Arabia,0.0036326066313692312,0.003033484948216774,0.352940516933174,0.84850147235822,-214.5560019329395,-210.8993744583349
Senegal,0.012113985980133756,0.0119237720506572,2.321250309980619,-27.99469419361682,-220.32700285677453,-216.67037538216994
Serbia,0.02614571439938371,0.021252292975954434,2.6381281593513837,-50.21761573586061,-23.16995164827602,-19.513324173671418
Seychelles,0.005412274029786043,0.004143566315659597,0.515514930966259,-0.7720281462979308,-17.532791984435335,-13.876164509830733
Sierra Leone,0.020453565788006944,0.019635497752525512,4.321799477785053,-22.454312721707144,-165.33920578350745,-161.68257830890286
Singapore,0.0071016555603588185,0.005942061543683533,0.630014840231143,-2.571159065319097,-213.79223613083508,-210.1356086562305
Slovakia,0.026917577352389022,0.022623998365054927,2.641516897030214,-58.17207092595068,-20.244532306883915,-16.587904832279314
Slovenia,0.013405941085035206,0.012285916470281766,1.3389299550435039,-5.245562810210137,-17.119071047855908,-13.462443573251306
Solomon Islands,0.004005339830303266,0.003434871777070549,0.6061605637374051,-2.779301012761994,-38.025904817137445,-34.36927734253284
Somalia,0.14362649974350636,0.054285714285714284,,-0.16666666666666674,-502.5113727247467,-498.8547452501421
South Africa,0.02461046080039587,0.02058055548170728,2.8573201739015555,-6.4381113432539365,-207.5433247875959,-203.88669731299132
South Sudan,0.005196246493978882,0.0038564375202004525,1.0000340888574637,-0.22052389638671688,-48.497745671886776,-44.84111819728217
Spain,0.00527918211272346,0.0032459461159207886,0.36158313926638747,0.19194176024516862,-224.18080811780322,-220.52418064319863
