Country,Human Development Index (value),Expected Years of Schooling (years),Mean Years of Schooling (years),Gross National Income Per Capita (2017 PPP$),Life Expectancy at Birth (years),Cluster
Palau,0.5425151515151516,11.071181818181818,8.905848484848486,16097.718454545455,64.81869696969696,0
"Palestine, State of",0.4014242424242424,11.860969696969697,5.102969696969697,5546.067878787879,71.84375757575758,0
Panama,0.7526363636363637,12.417303030303032,8.861,19313.58518181818,75.14036363636365,1
Papua New Guinea,0.4853333333333334,7.546242424242425,3.8207878787878786,3266.2419696969696,62.65803030303031,4
Paraguay,0.6824545454545454,12.450969696969697,7.28260606060606,10010.14287878788,70.85112121212121,1
Peru,0.701,13.174848484848484,8.667575757575756,8299.085363636363,71.80672727272727,1
Philippines,0.6584242424242425,11.767424242424243,8.277666666666667,6193.205909090909,69.86609090909091,1
Poland,0.8152121212121213,14.948,11.821545454545454,20454.4433030303,74.85572727272728,1
Portugal,0.8104848484848485,15.723696969696972,7.603121212121212,29589.890212121212,78.51651515151515,3
Qatar,0.8183333333333334,12.394666666666666,8.516848484848484,83711.21721212122,77.11681818181819,3
Romania,0.7634545454545454,13.361818181818181,10.146363636363636,18601.828848484845,72.32609090909091,1
Russian Federation,0.7726060606060605,13.808878787878788,11.793030303030303,20384.320333333333,68.42036363636363,1
Rwanda,0.3705454545454545,8.765393939393938,3.2329090909090907,1302.423090909091,54.76,5
Saint Kitts and Nevis,0.4416060606060606,15.397090909090908,5.518393939393939,21613.929,70.02445454545455,0
Saint Lucia,0.7092121212121212,12.703909090909091,7.829969696969697,12461.911545454546,71.93821212121213,1
Saint Vincent and the Grenadines,0.5247878787878788,13.320484848484849,6.982909090909091,10119.931515151515,72.86842424242424,0
Samoa,0.5876969696969696,11.937787878787878,11.086939393939394,4296.046515151515,71.1340303030303,1
San Marino,0.8722121212121212,14.41930303030303,9.739121212121212,65939.68484848485,81.12466666666667,3
Sao Tome and Principe,0.5386060606060606,10.175484848484848,5.020515151515151,3015.292696969697,64.29215151515152,0
Saudi Arabia,0.7856969696969697,13.074636363636364,8.176878787878788,44538.56848484848,74.1610909090909,3
Senegal,0.4393030303030303,7.022515151515151,2.1401818181818184,2756.047696969697,61.883575757575755,4
Serbia,0.6364848484848485,13.529030303030302,9.090030303030304,11146.647272727272,73.32739393939394,1
